"filename", "language", "C++", "C", "comment", "blank", "total"
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/bootloader/uefi.c", "C", 0, 22, 21, 11, 54
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/common/fromboot.h", "C++", 1, 0, 0, 0, 1
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/kcode/io.h", "C++", 14, 0, 1, 6, 21
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/stdio.c", "C", 0, 182, 20, 21, 223
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/stdio.h", "C++", 9, 0, 3, 2, 14
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/mem/pmm.c", "C", 0, -11, 5, 0, -6
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/mem/pmm.h", "C++", 3, 0, 0, 1, 4
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/mem/vmm.c", "C", 0, 198, 23, 54, 275
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/mem/vmm.h", "C++", 9, 0, 0, 3, 12
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/simple.c", "C", 0, 19, 0, 2, 21
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/temp/cnsl_read.c", "C", 0, 98, 11, 23, 132
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/temp/cnsl_read.h", "C++", 7, 0, 1, 3, 11
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/temp/command.c", "C", 0, 32, 4, 6, 42
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/temp/command.h", "C++", 8, 0, 0, 5, 13
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/toolchain/gcc-15.2.0/libphobos/libdruntime/core/stdc/errno_.c", "C", 0, -10, -10, -6, -26
"Total", "-", 51, 530, 79, 131, 791
