"filename", "language", "Makefile", "C++", "C", "Markdown", "JSON with Comments", "comment", "blank", "total"
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/ArchaOS.code-workspace", "JSON with Comments", 0, 0, 0, 0, 8, 0, 0, 8
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/Makefile", "Makefile", 12, 0, 0, 0, 0, 0, 5, 17
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/README.md", "Markdown", 0, 0, 0, 94, 0, 0, 35, 129
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/bootloader/Makefile", "Makefile", 43, 0, 0, 0, 0, 1, 17, 61
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/bootloader/efi.h", "C++", 0, 626, 0, 0, 0, 25, 104, 755
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/bootloader/elf.h", "C++", 0, 38, 0, 0, 0, 0, 9, 47
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/bootloader/uefi.c", "C", 0, 0, 1007, 0, 0, 254, 209, 1470
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/common/fonts/cozette.h", "C++", 0, 53, 0, 0, 0, 0, 40, 93
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/common/fonts/cozette_fnt.h", "C++", 0, 732, 0, 0, 0, 0, 0, 732
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/common/fromboot.h", "C++", 0, 19, 0, 0, 0, 0, 8, 27
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/common/logo.h", "C++", 0, 648, 0, 0, 0, 0, 1, 649
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/Makefile", "Makefile", 26, 0, 0, 0, 0, 0, 14, 40
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/config.h", "C++", 0, 4, 0, 0, 0, 24, 4, 32
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/errs/exception.c", "C", 0, 0, 16, 0, 0, 29, 3, 48
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/errs/kernel_panic.c", "C", 0, 0, 8, 0, 0, 3, 4, 15
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/errs/pnc.h", "C++", 0, 4, 0, 0, 0, 0, 2, 6
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/graphics/graphics.h", "C++", 0, 0, 0, 0, 0, 0, 1, 1
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/kcode/gdt.c", "C", 0, 0, 47, 0, 0, 0, 14, 61
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/kcode/gdt.h", "C++", 0, 49, 0, 0, 0, 16, 13, 78
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/kcode/idt.c", "C", 0, 0, 31, 0, 0, 0, 20, 51
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/kcode/idt.h", "C++", 0, 22, 0, 0, 0, 0, 10, 32
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/kcode/io.h", "C++", 0, 131, 0, 0, 0, 3, 9, 143
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/stdbool.h", "C++", 0, 9, 0, 0, 0, 0, 5, 14
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/stdint.h", "C++", 0, 4, 0, 0, 0, 78, 4, 86
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/stdio.c", "C", 0, 0, 283, 0, 0, 21, 47, 351
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/stdio.h", "C++", 0, 24, 0, 0, 0, 4, 7, 35
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/string.c", "C", 0, 0, 69, 0, 0, 11, 24, 104
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/string.h", "C++", 0, 12, 0, 0, 0, 11, 4, 27
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/uchar.h", "C++", 0, 12, 0, 0, 0, 0, 5, 17
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/mem/pmm.c", "C", 0, 0, 127, 0, 0, 15, 18, 160
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/mem/pmm.h", "C++", 0, 23, 0, 0, 0, 0, 7, 30
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/mem/vmm.c", "C", 0, 0, 198, 0, 0, 23, 54, 275
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/mem/vmm.h", "C++", 0, 9, 0, 0, 0, 0, 3, 12
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/simple.c", "C", 0, 0, 94, 0, 0, 33, 29, 156
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/temp/cnsl_read.c", "C", 0, 0, 98, 0, 0, 11, 23, 132
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/temp/cnsl_read.h", "C++", 0, 7, 0, 0, 0, 1, 3, 11
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/temp/command.c", "C", 0, 0, 32, 0, 0, 4, 6, 42
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/temp/command.h", "C++", 0, 8, 0, 0, 0, 0, 5, 13
"Total", "-", 81, 2434, 2010, 94, 8, 567, 766, 5960
