"filename", "language", "Makefile", "C++", "C", "comment", "blank", "total"
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/Makefile", "Makefile", 2, 0, 0, 0, 1, 3
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/bootloader/Makefile", "Makefile", 13, 0, 0, 0, 0, 13
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/bootloader/uefi.c", "C", 0, 0, 2, 0, 1, 3
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/common/fromboot.h", "C++", 0, 2, 0, 0, 2, 4
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/arch/x86_64/gdt.c", "C", 0, 0, 47, 0, 14, 61
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/arch/x86_64/gdt.h", "C++", 0, 49, 0, 16, 13, 78
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/arch/x86_64/idt.c", "C", 0, 0, 33, 0, 20, 53
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/arch/x86_64/idt.h", "C++", 0, 22, 0, 0, 10, 32
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/arch/x86_64/io.h", "C++", 0, 134, 0, 2, 9, 145
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/config.h", "C++", 0, 1, 0, 1, 0, 2
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/errs/exception.c", "C", 0, 0, 3, 3, 1, 7
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/errs/kernel_panic.c", "C", 0, 0, 2, -2, 1, 1
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/errs/pnc.h", "C++", 0, 4, 0, 0, 2, 6
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/graphics/graphics.c", "C", 0, 0, 18, 0, 6, 24
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/graphics/graphics.h", "C++", 0, 16, 0, 0, 4, 20
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/kcode/gdt.c", "C", 0, 0, -47, 0, -14, -61
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/kcode/gdt.h", "C++", 0, -49, 0, -16, -13, -78
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/kcode/idt.c", "C", 0, 0, -31, 0, -20, -51
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/kcode/idt.h", "C++", 0, -22, 0, 0, -10, -32
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/kcode/io.h", "C++", 0, -131, 0, -3, -9, -143
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/kcode/x86_64.h", "C++", 0, 31, 0, 3, 13, 47
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/stdio.c", "C", 0, 0, -2, 16, -2, 12
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/stdio.h", "C++", 0, 2, 0, -1, -1, 0
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/mem/pmm.c", "C", 0, 0, -1, 26, 7, 32
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/mem/vmm.c", "C", 0, 0, -197, -23, -52, -272
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/mem/vmm.h", "C++", 0, -6, 0, 0, 0, -6
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/simple.c", "C", 0, 0, 3, -9, 1, -5
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/temp/command.c", "C", 0, 0, 9, 0, 2, 11
"Total", "-", 15, 53, -161, 13, -14, -94
