"filename", "language", "Makefile", "C++", "C", "Markdown", "JSON with Comments", "comment", "blank", "total"
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/ArchaOS.code-workspace", "JSON with Comments", 0, 0, 0, 0, 8, 0, 0, 8
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/Makefile", "Makefile", 14, 0, 0, 0, 0, 0, 6, 20
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/README.md", "Markdown", 0, 0, 0, 94, 0, 0, 35, 129
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/bootloader/uefi.c", "C", 0, 0, 8, 0, 0, -10, 2, 0
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/common/fonts/cozette.h", "C++", 0, 53, 0, 0, 0, 0, 40, 93
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/common/fonts/cozette_fnt.h", "C++", 0, 732, 0, 0, 0, 0, 0, 732
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/common/fromboot.h", "C++", 0, 21, 0, 0, 0, 0, 10, 31
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/common/logo.h", "C++", 0, 648, 0, 0, 0, 0, 1, 649
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/Makefile", "Makefile", 26, 0, 0, 0, 0, 0, 14, 40
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/arch/x86_64/gdt/gdt.c", "C", 0, 0, 45, 0, 0, 0, 14, 59
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/arch/x86_64/gdt/gdt.h", "C++", 0, 49, 0, 0, 0, 16, 13, 78
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/arch/x86_64/idt/idt.c", "C", 0, 0, 31, 0, 0, 0, 20, 51
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/arch/x86_64/idt/idt.h", "C++", 0, 22, 0, 0, 0, 0, 10, 32
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/arch/x86_64/init.c", "C", 0, 0, 52, 0, 0, 3, 11, 66
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/arch/x86_64/init.h", "C++", 0, 13, 0, 0, 0, 0, 7, 20
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/arch/x86_64/io.h", "C++", 0, 134, 0, 0, 0, 2, 9, 145
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/arch/x86_64/mm/pmm.c", "C", 0, 0, 176, 0, 0, 43, 40, 259
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/arch/x86_64/mm/pmm.h", "C++", 0, 30, 0, 0, 0, 3, 11, 44
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/arch/x86_64/mm/vmm.c", "C", 0, 0, 107, 0, 0, 13, 37, 157
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/arch/x86_64/mm/vmm.h", "C++", 0, 18, 0, 0, 0, 2, 10, 30
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/config.h", "C++", 0, 5, 0, 0, 0, 25, 4, 34
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/errs/exception.c", "C", 0, 0, 20, 0, 0, 36, 10, 66
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/errs/kernel_panic.c", "C", 0, 0, 12, 0, 0, 1, 3, 16
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/errs/pnc.h", "C++", 0, 8, 0, 0, 0, 0, 4, 12
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/graphics/graphics.c", "C", 0, 0, 17, 0, 0, 1, 7, 25
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/graphics/graphics.h", "C++", 0, 16, 0, 0, 0, 0, 5, 21
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/kcode/arch.h", "C++", 0, 8, 0, 0, 0, 0, 5, 13
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/Makefile", "Makefile", 26, 0, 0, 0, 0, 0, 14, 40
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/stdbool.h", "C++", 0, 9, 0, 0, 0, 0, 5, 14
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/stdint.h", "C++", 0, 5, 0, 0, 0, 78, 5, 88
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/stdio.c", "C", 0, 0, 319, 0, 0, 21, 45, 385
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/stdio.h", "C++", 0, 25, 0, 0, 0, 2, 6, 33
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/string.c", "C", 0, 0, 69, 0, 0, 11, 24, 104
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/string.h", "C++", 0, 12, 0, 0, 0, 11, 4, 27
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/uchar.h", "C++", 0, 12, 0, 0, 0, 0, 5, 17
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/startup.c", "C", 0, 0, 54, 0, 0, 47, 16, 117
"Total", "-", 66, 1820, 910, 94, 8, 305, 452, 3655
